Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.354,-0.115,11.109,-0.122,0.274,-0.244,24.671,22.600,100960.000,30.432
0.330,-0.101,11.171,-0.061,0.579,-0.061,24.624,22.600,100962.000,30.182
0.359,-0.105,11.143,-0.091,0.396,-0.274,24.577,22.600,100957.000,30.432
0.326,-0.067,11.090,-7.805,0.457,-0.152,24.577,22.600,100966.000,29.931
0.359,-0.163,11.052,-0.213,0.335,-7.774,24.577,22.600,100962.000,30.015
0.393,-0.105,11.200,-0.274,0.427,-0.061,24.671,22.600,100953.000,30.432
0.378,-0.120,11.085,-0.030,0.549,-0.122,24.671,22.600,100966.000,30.516
0.292,-0.101,11.128,-0.183,0.457,-0.213,24.577,22.600,100960.000,30.516
0.359,-0.014,11.162,-0.152,0.366,7.774,24.671,22.600,100962.000,31.267
0.354,-0.101,11.214,-0.183,0.518,-0.183,24.577,22.600,100960.000,30.766
0.345,-0.101,11.171,-0.305,0.305,-0.152,24.530,22.600,100966.000,30.766
0.359,-0.139,11.143,-0.152,0.518,-0.061,24.624,22.600,100959.000,30.683
0.388,-0.134,11.157,-0.183,0.457,-0.061,24.718,22.600,100957.000,30.015
0.278,-0.081,11.152,-0.244,0.366,7.744,24.624,22.600,100962.000,30.015
0.388,-0.091,11.114,0.030,0.335,-0.061,24.530,22.600,100948.000,30.015
0.354,-0.129,11.109,-0.213,0.488,-0.183,24.671,22.600,100959.000,30.182
0.359,-0.062,11.133,-0.091,0.427,-0.183,24.671,22.600,100959.000,30.683
0.297,-0.062,11.090,-0.152,0.396,-0.091,24.577,22.600,100957.000,30.432
0.373,-0.034,11.076,-0.091,0.610,-0.030,24.671,22.600,100960.000,30.182
0.330,-0.105,9.874,-0.122,0.457,0.030,24.671,22.600,100956.000,30.516
0.354,-0.144,11.128,-0.061,0.427,-0.122,24.530,22.600,100957.000,30.182
0.369,-0.120,11.210,-0.122,0.427,-0.152,24.718,22.600,100972.000,30.432
0.340,-0.120,11.157,-0.061,0.335,-0.091,24.671,22.600,100963.000,30.516
0.273,-0.139,11.162,-0.061,0.427,-0.213,24.577,22.600,100959.000,30.516
0.407,-0.101,11.152,0.030,0.427,-7.805,24.624,22.600,100956.000,30.265
0.373,-0.134,11.157,-0.122,0.427,-0.274,24.624,22.600,100956.000,30.182
0.340,-0.048,11.152,7.774,0.366,-0.091,24.671,22.600,100959.000,31.184
0.330,-0.081,11.114,7.713,0.457,-0.183,24.577,22.600,100962.000,29.764
